data,ano,mes,dia,dia_semana,semana_iso,flag_feriado_nacional,flag_campanha,intensidade_max,evento_principal,ev_Black_Friday,ev_Black_November_Esquenta,ev_Carnaval,ev_Confraternizacao_Universal,ev_Consciencia_Negra,ev_Copa_do_Mundo,ev_Corpus_Christi,ev_Cyber_Monday,ev_Dia_das_Criancas,ev_Dia_das_Maes,ev_Dia_do_Cliente,ev_Dia_do_Trabalho,ev_Dia_dos_Namorados,ev_Dia_dos_Pais,ev_Festas_Juninas,ev_Finados,ev_Independencia,ev_Liquida_Inicio_Ano,ev_N_Sra_Aparecida,ev_Natal,ev_Natal_Feriado,ev_Pascoa,ev_Pos_Natal_Saldao,ev_Proclamacao_da_Republica,ev_Semana_do_Consumidor,ev_Sexta_feira_Santa,ev_Tiradentes,ev_Volta_as_Aulas
2022-01-01,2022,1,1,sabado,52,1,0,1,Confraternizacao_Universal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,2022,1,2,domingo,52,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-03,2022,1,3,segunda,1,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-04,2022,1,4,terca,1,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-05,2022,1,5,quarta,1,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-06,2022,1,6,quinta,1,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-07,2022,1,7,sexta,1,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-08,2022,1,8,sabado,1,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-09,2022,1,9,domingo,1,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-10,2022,1,10,segunda,2,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-11,2022,1,11,terca,2,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-12,2022,1,12,quarta,2,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-13,2022,1,13,quinta,2,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-14,2022,1,14,sexta,2,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-15,2022,1,15,sabado,2,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-16,2022,1,16,domingo,2,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-17,2022,1,17,segunda,3,0,1,3,Liquida_Inicio_Ano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-18,2022,1,18,terca,3,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-19,2022,1,19,quarta,3,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-20,2022,1,20,quinta,3,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-21,2022,1,21,sexta,3,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-22,2022,1,22,sabado,3,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-23,2022,1,23,domingo,3,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-24,2022,1,24,segunda,4,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-25,2022,1,25,terca,4,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-26,2022,1,26,quarta,4,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-27,2022,1,27,quinta,4,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-28,2022,1,28,sexta,4,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-29,2022,1,29,sabado,4,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-30,2022,1,30,domingo,4,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-01-31,2022,1,31,segunda,5,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022-02-01,2022,2,1,terca,5,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-02,2022,2,2,quarta,5,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-03,2022,2,3,quinta,5,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-04,2022,2,4,sexta,5,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-05,2022,2,5,sabado,5,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-06,2022,2,6,domingo,5,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-07,2022,2,7,segunda,6,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-08,2022,2,8,terca,6,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-09,2022,2,9,quarta,6,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-10,2022,2,10,quinta,6,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-11,2022,2,11,sexta,6,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-12,2022,2,12,sabado,6,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-13,2022,2,13,domingo,6,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-14,2022,2,14,segunda,7,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-15,2022,2,15,terca,7,0,1,3,Volta_as_Aulas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-02-16,2022,2,16,quarta,7,0,0,0,Sem_Evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-17,2022,2,17,quinta,7,0,0,0,Sem_Evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-18,2022,2,18,sexta,7,0,0,0,Sem_Evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-19,2022,2,19,sabado,7,0,0,0,Sem_Evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-20,2022,2,20,domingo,7,0,0,0,Sem_Evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-21,2022,2,21,segunda,8,0,0,0,Sem_Evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-22,2022,2,22,terca,8,0,0,0,Sem_Evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-23,2022,2,23,quarta,8,0,0,0,Sem_Evento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-24,2022,2,24,quinta,8,0,0,2,Carnaval,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-25,2022,2,25,sexta,8,0,0,2,Carnaval,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-26,2022,2,26,sabado,8,0,0,2,Carnaval,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-27,2022,2,27,domingo,8,0,0,2,Carnaval,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,2022,2,28,segunda,9,0,0,2,Carnaval,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,2022,3,1,terca,9,0,0,2,Carnaval,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,2022,3,2,quarta,9,0,0,2,Carnaval,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
